danrer_gene_id	danrer_transcript_id	number_of_exons	astmex_gene_id	danrer_gene_id	gadmor_gene_id	gasacu_gene_id	orenil_gene_id	orylat_gene_id	poefor	takrub_gene_id	tetnig_gene_id	xipmac_gene_id
ENSDARG00000062868	ENSDART00000091349	8	ENSAMXG00000020316	ENSDARG00000062868	ENSGMOG00000003679	ENSGACG00000011713	ENSONIG00000014683	ENSORLG00000011313	ENSPFOG00000016046	ENSTRUG00000006881	ENSTNIG00000012148	ENSXMAG00000001366	
ENSDARG00000063155	ENSDART00000092015	5	ENSAMXG00000008061	ENSDARG00000063155	ENSGMOG00000008825	ENSGACG00000008854	ENSONIG00000020386	ENSORLG00000008742	ENSPFOG00000010041	ENSTRUG00000015198	ENSTNIG00000010672	ENSXMAG00000001393	
ENSDARG00000063362	ENSDART00000082377	5	ENSAMXG00000018162	ENSDARG00000063362	ENSGMOG00000013611	ENSGACG00000016817	ENSONIG00000014080	ENSORLG00000007468	ENSPFOG00000019818	ENSTRUG00000014728	ENSTNIG00000009041	ENSXMAG00000005243	
ENSDARG00000063558	ENSDART00000092977	7	ENSAMXG00000013562	ENSDARG00000063558	ENSGMOG00000010857	ENSGACG00000008207	ENSONIG00000005049	ENSORLG00000010324	ENSPFOG00000002035	ENSTRUG00000006375	ENSTNIG00000010289	ENSXMAG00000018091	
ENSDARG00000063624	ENSDART00000093152	6	ENSAMXG00000013435	ENSDARG00000063624	ENSGMOG00000010161	ENSGACG00000009864	ENSONIG00000003772	ENSORLG00000006487	ENSPFOG00000011022	ENSTRUG00000009244	ENSTNIG00000007729	ENSXMAG00000000261	
ENSDARG00000063626	ENSDART00000093149	5	ENSAMXG00000009140	ENSDARG00000063626	ENSGMOG00000012354	ENSGACG00000016060	ENSONIG00000005499	ENSORLG00000010122	ENSPFOG00000016196	ENSTRUG00000017570	ENSTNIG00000013798	ENSXMAG00000008199	
ENSDARG00000063694	ENSDART00000093291	12	ENSAMXG00000000684	ENSDARG00000063694	ENSGMOG00000000877	ENSGACG00000003609	ENSONIG00000008861	ENSORLG00000002173	ENSPFOG00000012989	ENSTRUG00000016355	ENSTNIG00000014264	ENSXMAG00000010406	
ENSDARG00000067607	ENSDART00000092665	9	ENSAMXG00000009016	ENSDARG00000067607	ENSGMOG00000011626	ENSGACG00000012064	ENSONIG00000002304	ENSORLG00000009437	ENSPFOG00000010306	ENSTRUG00000008197	ENSTNIG00000011957	ENSXMAG00000014774	
ENSDARG00000067805	ENSDART00000097670	7	ENSAMXG00000018477	ENSDARG00000067805	ENSGMOG00000014596	ENSGACG00000017192	ENSONIG00000003569	ENSORLG00000009417	ENSPFOG00000019732	ENSTRUG00000010544	ENSTNIG00000009116	ENSXMAG00000003033	
ENSDARG00000069085	ENSDART00000023545	8	ENSAMXG00000015380	ENSDARG00000069085	ENSGMOG00000012241	ENSGACG00000020212	ENSONIG00000017550	ENSORLG00000012396	ENSPFOG00000013081	ENSTRUG00000009276	ENSTNIG00000011640	ENSXMAG00000000085	
ENSDARG00000069274	ENSDART00000060291	8	ENSAMXG00000000503	ENSDARG00000069274	ENSGMOG00000017553	ENSGACG00000005293	ENSONIG00000015506	ENSORLG00000006561	ENSPFOG00000010607	ENSTRUG00000003491	ENSTNIG00000016069	ENSXMAG00000003705	
ENSDARG00000069934	ENSDART00000038257	6	ENSAMXG00000016657	ENSDARG00000069934	ENSGMOG00000001674	ENSGACG00000008521	ENSONIG00000010261	ENSORLG00000018162	ENSPFOG00000002081	ENSTRUG00000000113	ENSTNIG00000015654	ENSXMAG00000007400	
ENSDARG00000070109	ENSDART00000102609	6	ENSAMXG00000008288	ENSDARG00000070109	ENSGMOG00000016202	ENSGACG00000016204	ENSONIG00000009042	ENSORLG00000005794	ENSPFOG00000008411	ENSTRUG00000013625	ENSTNIG00000004633	ENSXMAG00000009813	
ENSDARG00000070794	ENSDART00000076611	6	ENSAMXG00000019171	ENSDARG00000070794	ENSGMOG00000015297	ENSGACG00000016281	ENSONIG00000017167	ENSORLG00000011615	ENSPFOG00000015209	ENSTRUG00000000142	ENSTNIG00000005467	ENSXMAG00000017566	
ENSDARG00000071197	ENSDART00000105098	5	ENSAMXG00000010176	ENSDARG00000071197	ENSGMOG00000011053	ENSGACG00000010156	ENSONIG00000001318	ENSORLG00000013504	ENSPFOG00000015786	ENSTRUG00000014832	ENSTNIG00000017216	ENSXMAG00000009748	
ENSDARG00000071294	ENSDART00000105326	9	ENSAMXG00000008066	ENSDARG00000071294	ENSGMOG00000010613	ENSGACG00000009209	ENSONIG00000003595	ENSORLG00000014714	ENSPFOG00000013779	ENSTRUG00000007494	ENSTNIG00000017293	ENSXMAG00000007828	
ENSDARG00000071692	ENSDART00000106186	5	ENSAMXG00000001708	ENSDARG00000071692	ENSGMOG00000016980	ENSGACG00000002845	ENSONIG00000014224	ENSORLG00000008271	ENSPFOG00000010245	ENSTRUG00000010275	ENSTNIG00000010111	ENSXMAG00000010123	
ENSDARG00000073686	ENSDART00000113316	5	ENSAMXG00000024375	ENSDARG00000073686	ENSGMOG00000014810	ENSGACG00000020623	ENSONIG00000004863	ENSORLG00000005290	ENSPFOG00000018343	ENSTRUG00000017066	ENSTNIG00000009991	ENSXMAG00000010799	
ENSDARG00000073834	ENSDART00000113211	5	ENSAMXG00000013691	ENSDARG00000073834	ENSGMOG00000017033	ENSGACG00000002913	ENSONIG00000014202	ENSORLG00000008419	ENSPFOG00000004210	ENSTRUG00000009313	ENSTNIG00000010106	ENSXMAG00000001580	
ENSDARG00000073862	ENSDART00000109442	12	ENSAMXG00000011424	ENSDARG00000073862	ENSGMOG00000002695	ENSGACG00000016376	ENSONIG00000007651	ENSORLG00000006294	ENSPFOG00000005502	ENSTRUG00000013202	ENSTNIG00000007533	ENSXMAG00000004518	
ENSDARG00000073926	ENSDART00000115129	6	ENSAMXG00000004038	ENSDARG00000073926	ENSGMOG00000016084	ENSGACG00000011112	ENSONIG00000013163	ENSORLG00000004525	ENSPFOG00000009062	ENSTRUG00000004428	ENSTNIG00000016226	ENSXMAG00000011807	
ENSDARG00000074041	ENSDART00000127464	11	ENSAMXG00000011731	ENSDARG00000074041	ENSGMOG00000012077	ENSGACG00000014344	ENSONIG00000019045	ENSORLG00000013297	ENSPFOG00000001770	ENSTRUG00000006098	ENSTNIG00000011884	ENSXMAG00000014299	
ENSDARG00000074121	ENSDART00000113621	5	ENSAMXG00000014385	ENSDARG00000074121	ENSGMOG00000005405	ENSGACG00000006500	ENSONIG00000016351	ENSORLG00000004732	ENSPFOG00000003584	ENSTRUG00000013136	ENSTNIG00000018888	ENSXMAG00000008159	
ENSDARG00000074137	ENSDART00000112974	14	ENSAMXG00000003939	ENSDARG00000074137	ENSGMOG00000016376	ENSGACG00000011281	ENSONIG00000013198	ENSORLG00000004303	ENSPFOG00000007777	ENSTRUG00000007403	ENSTNIG00000016240	ENSXMAG00000012013	
ENSDARG00000074314	ENSDART00000100800	6	ENSAMXG00000007850	ENSDARG00000074314	ENSGMOG00000016890	ENSGACG00000010433	ENSONIG00000011818	ENSORLG00000010323	ENSPFOG00000006207	ENSTRUG00000002140	ENSTNIG00000009900	ENSXMAG00000019400	
ENSDARG00000074410	ENSDART00000109262	7	ENSAMXG00000001555	ENSDARG00000074410	ENSGMOG00000002816	ENSGACG00000013558	ENSONIG00000010466	ENSORLG00000014821	ENSPFOG00000016438	ENSTRUG00000007748	ENSTNIG00000014393	ENSXMAG00000005742	
ENSDARG00000074424	ENSDART00000114642	5	ENSAMXG00000016866	ENSDARG00000074424	ENSGMOG00000006344	ENSGACG00000005178	ENSONIG00000000065	ENSORLG00000001923	ENSPFOG00000019277	ENSTRUG00000001443	ENSTNIG00000006874	ENSXMAG00000007032	
ENSDARG00000074498	ENSDART00000027807	5	ENSAMXG00000005652	ENSDARG00000074498	ENSGMOG00000006040	ENSGACG00000016694	ENSONIG00000002816	ENSORLG00000013810	ENSPFOG00000015839	ENSTRUG00000009125	ENSTNIG00000003825	ENSXMAG00000016192	
ENSDARG00000074524	ENSDART00000111981	11	ENSAMXG00000012641	ENSDARG00000074524	ENSGMOG00000015582	ENSGACG00000008483	ENSONIG00000001227	ENSORLG00000004387	ENSPFOG00000013864	ENSTRUG00000014881	ENSTNIG00000011693	ENSXMAG00000009149	
ENSDARG00000074571	ENSDART00000114431	5	ENSAMXG00000006238	ENSDARG00000074571	ENSGMOG00000002097	ENSGACG00000017835	ENSONIG00000009620	ENSORLG00000017289	ENSPFOG00000015228	ENSTRUG00000010940	ENSTNIG00000008520	ENSXMAG00000016294	
ENSDARG00000074675	ENSDART00000111836	8	ENSAMXG00000005418	ENSDARG00000074675	ENSGMOG00000007249	ENSGACG00000010722	ENSONIG00000016732	ENSORLG00000015195	ENSPFOG00000008392	ENSTRUG00000014260	ENSTNIG00000012537	ENSXMAG00000011661	
ENSDARG00000074708	ENSDART00000111237	5	ENSAMXG00000020820	ENSDARG00000074708	ENSGMOG00000008711	ENSGACG00000002485	ENSONIG00000014450	ENSORLG00000000198	ENSPFOG00000006521	ENSTRUG00000001807	ENSTNIG00000008138	ENSXMAG00000000552	
ENSDARG00000074735	ENSDART00000113080	8	ENSAMXG00000010625	ENSDARG00000074735	ENSGMOG00000003660	ENSGACG00000004489	ENSONIG00000007871	ENSORLG00000017408	ENSPFOG00000014872	ENSTRUG00000011782	ENSTNIG00000005808	ENSXMAG00000007164	
ENSDARG00000074749	ENSDART00000109197	9	ENSAMXG00000018815	ENSDARG00000074749	ENSGMOG00000012822	ENSGACG00000006476	ENSONIG00000004195	ENSORLG00000016083	ENSPFOG00000001738	ENSTRUG00000014299	ENSTNIG00000016440	ENSXMAG00000015970	
ENSDARG00000074759	ENSDART00000109579	6	ENSAMXG00000001383	ENSDARG00000074759	ENSGMOG00000006757	ENSGACG00000007905	ENSONIG00000018419	ENSORLG00000007436	ENSPFOG00000003164	ENSTRUG00000013280	ENSTNIG00000008667	ENSXMAG00000002765	
ENSDARG00000075000	ENSDART00000109284	5	ENSAMXG00000016949	ENSDARG00000075000	ENSGMOG00000010180	ENSGACG00000005988	ENSONIG00000008312	ENSORLG00000005570	ENSPFOG00000019632	ENSTRUG00000011199	ENSTNIG00000013691	ENSXMAG00000006759	
ENSDARG00000075072	ENSDART00000110167	5	ENSAMXG00000011614	ENSDARG00000075072	ENSGMOG00000011108	ENSGACG00000008807	ENSONIG00000020095	ENSORLG00000015409	ENSPFOG00000005635	ENSTRUG00000013352	ENSTNIG00000017322	ENSXMAG00000013276	
ENSDARG00000075108	ENSDART00000109529	5	ENSAMXG00000016183	ENSDARG00000075108	ENSGMOG00000005758	ENSGACG00000015331	ENSONIG00000003186	ENSORLG00000004713	ENSPFOG00000010638	ENSTRUG00000017217	ENSTNIG00000009452	ENSXMAG00000019274	
ENSDARG00000075313	ENSDART00000109523	5	ENSAMXG00000004895	ENSDARG00000075313	ENSGMOG00000001460	ENSGACG00000005614	ENSONIG00000019633	ENSORLG00000019736	ENSPFOG00000017795	ENSTRUG00000017166	ENSTNIG00000004749	ENSXMAG00000017272	
ENSDARG00000075354	ENSDART00000112361	9	ENSAMXG00000001539	ENSDARG00000075354	ENSGMOG00000000612	ENSGACG00000000685	ENSONIG00000019117	ENSORLG00000001751	ENSPFOG00000009979	ENSTRUG00000006657	ENSTNIG00000014573	ENSXMAG00000002146	
ENSDARG00000075490	ENSDART00000111777	9	ENSAMXG00000018888	ENSDARG00000075490	ENSGMOG00000004678	ENSGACG00000011277	ENSONIG00000005221	ENSORLG00000008142	ENSPFOG00000010081	ENSTRUG00000007310	ENSTNIG00000009748	ENSXMAG00000004756	
ENSDARG00000075672	ENSDART00000111565	5	ENSAMXG00000007809	ENSDARG00000075672	ENSGMOG00000004275	ENSGACG00000009489	ENSONIG00000019836	ENSORLG00000003486	ENSPFOG00000013622	ENSTRUG00000016791	ENSTNIG00000012880	ENSXMAG00000014877	
ENSDARG00000075798	ENSDART00000109678	6	ENSAMXG00000005773	ENSDARG00000075798	ENSGMOG00000007529	ENSGACG00000017248	ENSONIG00000009989	ENSORLG00000018714	ENSPFOG00000007554	ENSTRUG00000014044	ENSTNIG00000017716	ENSXMAG00000009721	
ENSDARG00000075824	ENSDART00000142215	10	ENSAMXG00000005443	ENSDARG00000075824	ENSGMOG00000014826	ENSGACG00000009138	ENSONIG00000006070	ENSORLG00000008945	ENSPFOG00000017240	ENSTRUG00000009529	ENSTNIG00000018368	ENSXMAG00000013134	
ENSDARG00000075826	ENSDART00000111123	5	ENSAMXG00000001485	ENSDARG00000075826	ENSGMOG00000016471	ENSGACG00000007948	ENSONIG00000020152	ENSORLG00000016146	ENSPFOG00000002519	ENSTRUG00000018083	ENSTNIG00000017376	ENSXMAG00000015359	
ENSDARG00000075842	ENSDART00000143728	5	ENSAMXG00000002708	ENSDARG00000075842	ENSGMOG00000008083	ENSGACG00000006920	ENSONIG00000002222	ENSORLG00000004852	ENSPFOG00000008243	ENSTRUG00000013762	ENSTNIG00000006540	ENSXMAG00000016768	
ENSDARG00000075883	ENSDART00000153244	5	ENSAMXG00000004273	ENSDARG00000075883	ENSGMOG00000019042	ENSGACG00000002522	ENSONIG00000016031	ENSORLG00000009565	ENSPFOG00000011421	ENSTRUG00000010515	ENSTNIG00000019410	ENSXMAG00000016612	
ENSDARG00000075886	ENSDART00000114163	7	ENSAMXG00000001494	ENSDARG00000075886	ENSGMOG00000011987	ENSGACG00000015077	ENSONIG00000010076	ENSORLG00000015755	ENSPFOG00000005629	ENSTRUG00000014293	ENSTNIG00000015290	ENSXMAG00000014958	
ENSDARG00000075957	ENSDART00000108897	7	ENSAMXG00000017326	ENSDARG00000075957	ENSGMOG00000019077	ENSGACG00000020521	ENSONIG00000005594	ENSORLG00000003317	ENSPFOG00000012035	ENSTRUG00000000358	ENSTNIG00000016164	ENSXMAG00000010321	
ENSDARG00000076028	ENSDART00000114839	5	ENSAMXG00000011918	ENSDARG00000076028	ENSGMOG00000013603	ENSGACG00000014730	ENSONIG00000011425	ENSORLG00000001195	ENSPFOG00000018410	ENSTRUG00000018614	ENSTNIG00000013585	ENSXMAG00000018587	
ENSDARG00000076055	ENSDART00000110516	5	ENSAMXG00000004873	ENSDARG00000076055	ENSGMOG00000000915	ENSGACG00000019896	ENSONIG00000019924	ENSORLG00000003969	ENSPFOG00000004441	ENSTRUG00000006763	ENSTNIG00000007024	ENSXMAG00000008894	
ENSDARG00000076171	ENSDART00000037516	6	ENSAMXG00000019655	ENSDARG00000076171	ENSGMOG00000007441	ENSGACG00000017225	ENSONIG00000010003	ENSORLG00000007396	ENSPFOG00000008596	ENSTRUG00000014413	ENSTNIG00000017722	ENSXMAG00000009608	
ENSDARG00000076362	ENSDART00000113427	5	ENSAMXG00000001445	ENSDARG00000076362	ENSGMOG00000016378	ENSGACG00000007915	ENSONIG00000020155	ENSORLG00000016188	ENSPFOG00000001886	ENSTRUG00000018131	ENSTNIG00000017379	ENSXMAG00000015312	
ENSDARG00000076559	ENSDART00000113014	8	ENSAMXG00000004228	ENSDARG00000076559	ENSGMOG00000002866	ENSGACG00000017953	ENSONIG00000009527	ENSORLG00000017508	ENSPFOG00000013941	ENSTRUG00000005744	ENSTNIG00000008500	ENSXMAG00000018959	
ENSDARG00000076647	ENSDART00000114077	6	ENSAMXG00000014209	ENSDARG00000076647	ENSGMOG00000006887	ENSGACG00000005816	ENSONIG00000002198	ENSORLG00000010989	ENSPFOG00000006185	ENSTRUG00000012156	ENSTNIG00000016992	ENSXMAG00000002844	
ENSDARG00000076801	ENSDART00000042624	5	ENSAMXG00000011055	ENSDARG00000076801	ENSGMOG00000005100	ENSGACG00000016344	ENSONIG00000000111	ENSORLG00000020481	ENSPFOG00000001918	ENSTRUG00000002020	ENSTNIG00000003162	ENSXMAG00000014930	
ENSDARG00000076920	ENSDART00000112046	7	ENSAMXG00000007732	ENSDARG00000076920	ENSGMOG00000001344	ENSGACG00000008023	ENSONIG00000011809	ENSORLG00000006291	ENSPFOG00000012615	ENSTRUG00000001322	ENSTNIG00000015125	ENSXMAG00000010129	
ENSDARG00000076934	ENSDART00000109166	5	ENSAMXG00000019599	ENSDARG00000076934	ENSGMOG00000015377	ENSGACG00000003976	ENSONIG00000006004	ENSORLG00000010740	ENSPFOG00000016281	ENSTRUG00000009184	ENSTNIG00000005845	ENSXMAG00000002350	
ENSDARG00000076994	ENSDART00000112331	5	ENSAMXG00000001112	ENSDARG00000076994	ENSGMOG00000006114	ENSGACG00000011049	ENSONIG00000011658	ENSORLG00000011400	ENSPFOG00000012392	ENSTRUG00000008432	ENSTNIG00000002949	ENSXMAG00000001857	
ENSDARG00000077002	ENSDART00000113418	5	ENSAMXG00000016707	ENSDARG00000077002	ENSGMOG00000000627	ENSGACG00000003812	ENSONIG00000016010	ENSORLG00000017870	ENSPFOG00000002036	ENSTRUG00000010573	ENSTNIG00000013948	ENSXMAG00000004255	
ENSDARG00000077009	ENSDART00000112653	6	ENSAMXG00000012614	ENSDARG00000077009	ENSGMOG00000003701	ENSGACG00000006972	ENSONIG00000009572	ENSORLG00000009016	ENSPFOG00000005136	ENSTRUG00000013264	ENSTNIG00000005811	ENSXMAG00000013572	
ENSDARG00000077064	ENSDART00000110257	8	ENSAMXG00000020247	ENSDARG00000077064	ENSGMOG00000002328	ENSGACG00000002130	ENSONIG00000017089	ENSORLG00000010325	ENSPFOG00000015518	ENSTRUG00000014791	ENSTNIG00000005541	ENSXMAG00000001261	
ENSDARG00000077139	ENSDART00000113176	5	ENSAMXG00000020373	ENSDARG00000077139	ENSGMOG00000000721	ENSGACG00000001609	ENSONIG00000007828	ENSORLG00000008197	ENSPFOG00000001990	ENSTRUG00000007787	ENSTNIG00000017842	ENSXMAG00000013992	
ENSDARG00000077307	ENSDART00000109506	5	ENSAMXG00000013301	ENSDARG00000077307	ENSGMOG00000009834	ENSGACG00000007325	ENSONIG00000002395	ENSORLG00000005435	ENSPFOG00000019085	ENSTRUG00000010078	ENSTNIG00000015163	ENSXMAG00000011619	
ENSDARG00000077442	ENSDART00000065122	7	ENSAMXG00000012630	ENSDARG00000077442	ENSGMOG00000004608	ENSGACG00000013824	ENSONIG00000004583	ENSORLG00000016018	ENSPFOG00000015327	ENSTRUG00000010285	ENSTNIG00000001039	ENSXMAG00000016055	
ENSDARG00000077469	ENSDART00000113305	8	ENSAMXG00000020896	ENSDARG00000077469	ENSGMOG00000005847	ENSGACG00000003012	ENSONIG00000010382	ENSORLG00000000890	ENSPFOG00000010484	ENSTRUG00000006581	ENSTNIG00000002722	ENSXMAG00000007723	
ENSDARG00000077536	ENSDART00000109885	18	ENSAMXG00000005684	ENSDARG00000077536	ENSGMOG00000004881	ENSGACG00000011474	ENSONIG00000010714	ENSORLG00000012286	ENSPFOG00000015110	ENSTRUG00000001307	ENSTNIG00000004320	ENSXMAG00000002058	
ENSDARG00000077570	ENSDART00000109534	7	ENSAMXG00000005249	ENSDARG00000077570	ENSGMOG00000001257	ENSGACG00000015392	ENSONIG00000003074	ENSORLG00000005424	ENSPFOG00000007824	ENSTRUG00000017243	ENSTNIG00000009425	ENSXMAG00000019040	
ENSDARG00000077823	ENSDART00000110721	6	ENSAMXG00000017113	ENSDARG00000077823	ENSGMOG00000010114	ENSGACG00000018011	ENSONIG00000013061	ENSORLG00000004891	ENSPFOG00000004457	ENSTRUG00000005874	ENSTNIG00000014227	ENSXMAG00000008628	
ENSDARG00000077839	ENSDART00000113021	6	ENSAMXG00000014791	ENSDARG00000077839	ENSGMOG00000008538	ENSGACG00000017828	ENSONIG00000009631	ENSORLG00000017276	ENSPFOG00000015329	ENSTRUG00000011263	ENSTNIG00000008523	ENSXMAG00000016336	
ENSDARG00000077860	ENSDART00000112410	14	ENSAMXG00000007397	ENSDARG00000077860	ENSGMOG00000006761	ENSGACG00000018351	ENSONIG00000017757	ENSORLG00000006908	ENSPFOG00000004211	ENSTRUG00000001146	ENSTNIG00000008996	ENSXMAG00000009881	
ENSDARG00000077891	ENSDART00000064027	7	ENSAMXG00000009702	ENSDARG00000077891	ENSGMOG00000016777	ENSGACG00000011826	ENSONIG00000010808	ENSORLG00000012854	ENSPFOG00000016445	ENSTRUG00000005135	ENSTNIG00000003774	ENSXMAG00000015318	
ENSDARG00000078127	ENSDART00000109707	13	ENSAMXG00000019983	ENSDARG00000078127	ENSGMOG00000007693	ENSGACG00000019362	ENSONIG00000009220	ENSORLG00000006500	ENSPFOG00000008290	ENSTRUG00000012632	ENSTNIG00000005376	ENSXMAG00000015663	
ENSDARG00000078135	ENSDART00000109409	9	ENSAMXG00000010776	ENSDARG00000078135	ENSGMOG00000000208	ENSGACG00000009057	ENSONIG00000000936	ENSORLG00000003284	ENSPFOG00000008982	ENSTRUG00000016361	ENSTNIG00000011725	ENSXMAG00000008580	
ENSDARG00000078261	ENSDART00000110629	7	ENSAMXG00000015731	ENSDARG00000078261	ENSGMOG00000010120	ENSGACG00000003823	ENSONIG00000005921	ENSORLG00000010314	ENSPFOG00000014991	ENSTRUG00000017819	ENSTNIG00000012769	ENSXMAG00000002552	
ENSDARG00000078338	ENSDART00000114091	5	ENSAMXG00000005187	ENSDARG00000078338	ENSGMOG00000012528	ENSGACG00000008050	ENSONIG00000018463	ENSORLG00000007230	ENSPFOG00000004497	ENSTRUG00000012007	ENSTNIG00000008658	ENSXMAG00000002870	
ENSDARG00000078535	ENSDART00000113498	10	ENSAMXG00000014276	ENSDARG00000078535	ENSGMOG00000012555	ENSGACG00000017011	ENSONIG00000018639	ENSORLG00000017927	ENSPFOG00000006195	ENSTRUG00000003213	ENSTNIG00000002196	ENSXMAG00000007622	
ENSDARG00000078582	ENSDART00000109288	7	ENSAMXG00000003764	ENSDARG00000078582	ENSGMOG00000018320	ENSGACG00000003570	ENSONIG00000014363	ENSORLG00000017978	ENSPFOG00000010948	ENSTRUG00000005675	ENSTNIG00000013925	ENSXMAG00000012554	
ENSDARG00000078593	ENSDART00000111563	13	ENSAMXG00000017102	ENSDARG00000078593	ENSGMOG00000007060	ENSGACG00000009203	ENSONIG00000016347	ENSORLG00000013350	ENSPFOG00000002911	ENSTRUG00000006143	ENSTNIG00000011561	ENSXMAG00000007176	
ENSDARG00000078759	ENSDART00000109798	9	ENSAMXG00000021028	ENSDARG00000078759	ENSGMOG00000012407	ENSGACG00000016111	ENSONIG00000017036	ENSORLG00000010460	ENSPFOG00000015056	ENSTRUG00000005048	ENSTNIG00000013789	ENSXMAG00000014738	
ENSDARG00000078767	ENSDART00000113232	5	ENSAMXG00000014837	ENSDARG00000078767	ENSGMOG00000011880	ENSGACG00000015049	ENSONIG00000010066	ENSORLG00000015794	ENSPFOG00000005980	ENSTRUG00000014147	ENSTNIG00000015285	ENSXMAG00000015052	
ENSDARG00000078850	ENSDART00000109134	6	ENSAMXG00000012605	ENSDARG00000078850	ENSGMOG00000008382	ENSGACG00000005254	ENSONIG00000006540	ENSORLG00000019294	ENSPFOG00000015306	ENSTRUG00000004174	ENSTNIG00000010900	ENSXMAG00000012429	
ENSDARG00000078890	ENSDART00000114481	35	ENSAMXG00000019775	ENSDARG00000078890	ENSGMOG00000014291	ENSGACG00000014318	ENSONIG00000014054	ENSORLG00000016882	ENSPFOG00000009798	ENSTRUG00000014521	ENSTNIG00000015365	ENSXMAG00000010057	
ENSDARG00000078979	ENSDART00000110330	8	ENSAMXG00000018215	ENSDARG00000078979	ENSGMOG00000019429	ENSGACG00000018916	ENSONIG00000007849	ENSORLG00000010082	ENSPFOG00000015262	ENSTRUG00000003527	ENSTNIG00000007421	ENSXMAG00000016633	
ENSDARG00000079015	ENSDART00000111472	8	ENSAMXG00000013027	ENSDARG00000079015	ENSGMOG00000009699	ENSGACG00000011490	ENSONIG00000005522	ENSORLG00000003832	ENSPFOG00000001640	ENSTRUG00000006177	ENSTNIG00000016261	ENSXMAG00000006974	
ENSDARG00000079463	ENSDART00000114203	9	ENSAMXG00000010962	ENSDARG00000079463	ENSGMOG00000013695	ENSGACG00000019289	ENSONIG00000009282	ENSORLG00000007017	ENSPFOG00000012127	ENSTRUG00000014860	ENSTNIG00000012995	ENSXMAG00000016108	
ENSDARG00000079616	ENSDART00000113630	5	ENSAMXG00000000638	ENSDARG00000079616	ENSGMOG00000003365	ENSGACG00000012998	ENSONIG00000019393	ENSORLG00000011587	ENSPFOG00000006747	ENSTRUG00000003674	ENSTNIG00000002662	ENSXMAG00000011872	
ENSDARG00000079702	ENSDART00000111927	6	ENSAMXG00000008375	ENSDARG00000079702	ENSGMOG00000010409	ENSGACG00000010871	ENSONIG00000013140	ENSORLG00000004824	ENSPFOG00000003795	ENSTRUG00000002991	ENSTNIG00000016201	ENSXMAG00000004082	
ENSDARG00000079751	ENSDART00000110951	20	ENSAMXG00000015472	ENSDARG00000079751	ENSGMOG00000016971	ENSGACG00000001806	ENSONIG00000011447	ENSORLG00000013530	ENSPFOG00000002061	ENSTRUG00000001647	ENSTNIG00000008201	ENSXMAG00000006811	
ENSDARG00000079773	ENSDART00000114653	7	ENSAMXG00000017784	ENSDARG00000079773	ENSGMOG00000001828	ENSGACG00000007833	ENSONIG00000018231	ENSORLG00000014089	ENSPFOG00000012976	ENSTRUG00000013075	ENSTNIG00000001987	ENSXMAG00000006758	
ENSDARG00000079870	ENSDART00000115312	5	ENSAMXG00000010355	ENSDARG00000079870	ENSGMOG00000009495	ENSGACG00000002669	ENSONIG00000013638	ENSORLG00000009735	ENSPFOG00000001489	ENSTRUG00000009054	ENSTNIG00000004590	ENSXMAG00000003451	
ENSDARG00000079881	ENSDART00000108653	5	ENSAMXG00000000163	ENSDARG00000079881	ENSGMOG00000006790	ENSGACG00000004392	ENSONIG00000016502	ENSORLG00000003521	ENSPFOG00000000334	ENSTRUG00000006056	ENSTNIG00000011673	ENSXMAG00000015223	
ENSDARG00000086345	ENSDART00000129464	5	ENSAMXG00000006105	ENSDARG00000086345	ENSGMOG00000017485	ENSGACG00000013522	ENSONIG00000015972	ENSORLG00000015973	ENSPFOG00000005210	ENSTRUG00000015853	ENSTNIG00000011453	ENSXMAG00000004131	
ENSDARG00000086795	ENSDART00000126063	5	ENSAMXG00000016683	ENSDARG00000086795	ENSGMOG00000015604	ENSGACG00000001351	ENSONIG00000015742	ENSORLG00000012855	ENSPFOG00000006601	ENSTRUG00000015592	ENSTNIG00000015679	ENSXMAG00000014772	
ENSDARG00000087352	ENSDART00000128014	15	ENSAMXG00000002878	ENSDARG00000087352	ENSGMOG00000007920	ENSGACG00000012383	ENSONIG00000019908	ENSORLG00000003766	ENSPFOG00000001975	ENSTRUG00000009810	ENSTNIG00000018872	ENSXMAG00000005518	
ENSDARG00000087921	ENSDART00000124097	9	ENSAMXG00000004946	ENSDARG00000087921	ENSGMOG00000009528	ENSGACG00000006801	ENSONIG00000016435	ENSORLG00000005200	ENSPFOG00000012824	ENSTRUG00000009451	ENSTNIG00000018911	ENSXMAG00000007890	
ENSDARG00000088264	ENSDART00000129783	7	ENSAMXG00000005912	ENSDARG00000088264	ENSGMOG00000005477	ENSGACG00000019651	ENSONIG00000015865	ENSORLG00000008915	ENSPFOG00000003004	ENSTRUG00000005163	ENSTNIG00000010119	ENSXMAG00000003919	
ENSDARG00000088807	ENSDART00000129372	5	ENSAMXG00000017340	ENSDARG00000088807	ENSGMOG00000011480	ENSGACG00000012438	ENSONIG00000011025	ENSORLG00000014319	ENSPFOG00000017847	ENSTRUG00000016481	ENSTNIG00000011488	ENSXMAG00000008550	
ENSDARG00000090036	ENSDART00000126640	6	ENSAMXG00000006642	ENSDARG00000090036	ENSGMOG00000008872	ENSGACG00000008899	ENSONIG00000020381	ENSORLG00000008666	ENSPFOG00000010223	ENSTRUG00000015108	ENSTNIG00000010667	ENSXMAG00000003422	
